,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper
82,Yohann Pele_2019_Marseille,Ligue 1,1.59,68,42.9,-0.17,50,4.7,1.19
83,Gianluigi Donnarumma_2019_Milan,Serie A,0.9,77.8,30.6,0.14,47.9,2.7,0.64
84,Diego Benaglio_2019_Monaco,Ligue 1,1.66,63.5,18.2,-0.12,38.7,2.8,0.66
85,Danijel Subasic_2019_Monaco,Ligue 1,0.95,74.4,28.6,0.07,37.5,3.6,0.48
86,Benjamin Lecomte_2019_Montpellier,Ligue 1,1.14,72.7,29.7,0.04,45.1,4.8,1.05
87,Maxime Dupe_2019_Nantes,Ligue 1,1.63,55.9,10,-0.36,38.8,4.4,0.67
88,Ciprian Tatarusanu_2019_Nantes,Ligue 1,1.13,69.5,25.9,0.05,45.8,5.3,1.43
89,Orestis Karnezis_2019_Napoli,Serie A,0.78,77.8,44.4,0.13,28.3,3.7,0.67
90,Alex Meret_2019_Napoli,Serie A,0.7,85.4,38.5,0.07,29,1.1,0.63
91,David Ospina_2019_Napoli,Serie A,1.24,69.4,31.3,-0.22,32.1,6.5,0.62
92,Martin Dubravka_2019_Newcastle Utd,Premier League,1.26,70,28.9,-0.12,35.3,6.6,0.87
93,Walter Benitez_2019_Nice,Ligue 1,0.83,81.1,45.7,0.35,36.9,3,0.4
94,Paul Bernardoni_2019_Nimes,Ligue 1,1.53,70,26.3,0.09,33.9,5.7,0.87
95,Fabian Bredlow_2019_Nurnberg,Bundesliga,2.24,54.1,16.7,-0.48,32.4,0.6,0.8
96,Christian Mathenia_2019_Nurnberg,Bundesliga,1.86,67.8,9.1,-0.3,35.9,1.9,0.47
97,Alphonse Areola_2019_Paris S-G,Ligue 1,0.81,80.3,52.4,0.11,42.6,2.7,0.62
98,Gianluigi Buffon_2019_Paris S-G,Ligue 1,1.06,73.8,35.3,0.17,39.6,1.1,0.94
99,Luigi Sepe_2019_Parma,Serie A,1.59,74.1,27,0.02,43.3,4.3,0.35
100,Peter Gulacsi_2019_RB Leipzig,Bundesliga,0.83,80.3,45.5,0.37,40.1,4.2,1.75
101,Stole Dimitrievski_2019_Rayo Vallecano,La Liga,1.67,69.5,14.3,-0.1,41,2.5,0.81
102,Alberto Garcia_2019_Rayo Vallecano,La Liga,2.06,60.9,23.5,-0.06,41.7,2,1.06
103,Thibaut Courtois_2019_Real Madrid,La Liga,1.33,71.2,29.6,0.01,34.4,7.3,0.74
104,Keylor Navas_2019_Real Madrid,La Liga,0.8,74.2,40,0.2,35.3,5,1.6
105,Miguel Angel Moya_2019_Real Sociedad,La Liga,1,66.7,18.2,-0.08,50,3.1,1.91
106,Geronimo Rulli_2019_Real Sociedad,La Liga,1.3,69.7,25.9,-0.12,36,5.3,1.15
107,Edouard Mendy_2019_Reims,Ligue 1,1.11,76.7,36.8,0.13,39.3,4.2,0.71
108,Abdoulaye Diallo_2019_Rennes,Ligue 1,0.73,85,33.3,0.17,33.3,10,0.55
109,Tomas Koubek_2019_Rennes,Ligue 1,1.48,67.4,28.1,-0.24,39.8,3.3,1.51
110,Antonio Mirante_2019_Roma,Serie A,0.55,84.2,54.5,0.41,45,1.2,0.55
111,Robin Olsen_2019_Roma,Serie A,1.56,69.8,14.8,-0.15,43.8,2.4,0.93
112,Alfred Gomis_2019_SPAL,Serie A,1.41,65.8,31.6,-0.21,39.5,2.7,0.52
113,Emiliano Viviano_2019_SPAL,Serie A,1.48,75,17.6,-0.06,43.6,2.1,0.53
114,Stephane Ruffier_2019_Saint-Etienne,Ligue 1,1.08,77.7,35.1,0.2,30,2.3,0.49
115,Emil Audero_2019_Sampdoria,Serie A,1.42,70.1,30.6,-0.01,33.2,4.3,1.33
116,Andrea Consigli_2019_Sassuolo,Serie A,1.57,66.5,33.3,0.01,40.8,2.7,0.81
