,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper
278,Jan Oblak_2021_Atletico Madrid,La Liga,0.66,80.3,47.4,0.29,37.5,2.7,0.71
279,Rafal Gikiewicz_2021_Augsburg,Bundesliga,1.59,73,20.6,0.07,34.2,5.3,1.06
280,Neto_2021_Barcelona,La Liga,0.86,83.3,42.9,0.2,38.9,2.3,1.14
281,Marc-Andre ter Stegen_2021_Barcelona,La Liga,1.03,72.6,35.5,-0.04,45.6,6,1.03
282,Manuel Neuer_2021_Bayern Munich,Bundesliga,1.27,66.7,27.3,0.07,48,1.4,3.18
283,Lorenzo Montipo_2021_Benevento,Serie A,2,59.3,18.9,-0.15,35.3,3.1,0.57
284,Claudio Bravo_2021_Betis,La Liga,1.25,72,35,0,35.7,3.8,0.8
285,Joel Robles_2021_Betis,La Liga,1.39,65.6,33.3,-0.01,34.2,4.1,1.78
286,Angelo da Costa Junior_2021_Bologna,Serie A,1.5,70.4,16.7,-0.06,50.9,5.8,1.67
287,Lukasz Skorupski_2021_Bologna,Serie A,1.64,72.1,14.3,0.09,35.8,5.2,0.75
288,Benoit Costil_2021_Bordeaux,Ligue 1,1.47,68.6,36.8,-0.18,43.3,2.9,0.79
289,Gautier Larsonneur_2021_Brest,Ligue 1,1.77,68,17.1,-0.18,45.5,4.7,0.69
290,Mathew Ryan_2021_Brighton,Premier League,1.73,55.9,18.2,-0.49,37.8,4.4,0.36
291,Robert Sanchez_2021_Brighton,Premier League,1,72.5,37,-0.1,36.7,6.5,1.07
292,Nick Pope_2021_Burnley,Premier League,1.16,77.2,34.4,0.13,36.3,6.1,2.28
293,Alessio Cragno_2021_Cagliari,Serie A,1.56,73.6,17.6,0.03,40.8,3.6,0.65
294,Ruben Blanco_2021_Celta Vigo,La Liga,1.48,57.4,21.1,-0.24,34.9,1.3,0.77
295,Ivan Villar_2021_Celta Vigo,La Liga,1.52,68.8,26.3,-0.1,29.6,2.2,1.57
296,Kepa Arrizabalaga_2021_Chelsea,Premier League,1.23,69.6,33.3,0,39.6,4.4,0.15
297,Edouard Mendy_2021_Chelsea,Premier League,0.82,71.6,51.6,-0.07,36,5.1,0.89
298,Alex Cordaz_2021_Crotone,Serie A,2.53,58.5,5.6,-0.47,38.8,3.2,1
299,Vicente Guaita_2021_Crystal Palace,Premier League,1.73,63.9,21.6,-0.37,34.3,3.1,0.65
300,Jeremias Ledesma_2021_Cadiz,La Liga,1.41,70.9,28.1,0.02,41,6.1,0.66
301,Saturnin Allagbe_2021_Dijon,Ligue 1,2.5,56.1,25,-0.72,35.3,3,1.42
302,Anthony Racioppi_2021_Dijon,Ligue 1,1.57,67.7,14.3,0.02,32.7,2.1,0.62
303,Roman Burki_2021_Dortmund,Bundesliga,1.62,71.7,22.2,-0.09,37.3,2.1,0.7
304,Marwin Hitz_2021_Dortmund,Bundesliga,1.03,68.2,43.8,0,48.4,4.5,0.52
305,Marko Dmitrovic_2021_Eibar,La Liga,1.41,64.3,25.7,-0.11,39.3,3.6,1.38
306,Kevin Trapp_2021_Eint Frankfurt,Bundesliga,1.58,68,12.1,-0.16,38.7,3.1,1.55
307,Edgar Badia_2021_Elche,La Liga,1.53,70.9,16.7,0.22,45.9,1.8,1.03
308,Paulo Gazzaniga_2021_Elche,La Liga,1.13,63.6,25,-0.21,39.1,2.2,0.38
309,Robin Olsen_2021_Everton,Premier League,1.29,73.3,28.6,0.07,38.7,4.5,0.57
310,Jordan Pickford_2021_Everton,Premier League,1.28,71.1,32.3,0,39,4.3,1.02
311,Bartlomiej Dragowski_2021_Fiorentina,Serie A,1.57,66.7,19.4,0.06,36.3,4.9,0.77
312,Florian Muller_2021_Freiburg,Bundesliga,1.48,72,19.4,0.04,29.7,1.7,1.16
313,Alphonse Areola_2021_Fulham,Premier League,1.33,73.9,25,0.1,37,5.2,0.86
314,Mattia Perin_2021_Genoa,Serie A,1.38,76.6,25,0.17,33.8,3.5,0.56
315,David Soria_2021_Getafe,La Liga,1.11,69.1,35.7,0.03,39.9,3.8,1.64
316,Ruben Yanez_2021_Getafe,La Liga,1.2,63.3,40,-0.1,43.2,3.9,0.4
317,Rui Silva_2021_Granada,La Liga,1.72,63.5,25,-0.17,37,2.2,1.59
318,Marco Silvestri_2021_Hellas Verona,Serie A,1.24,72.5,20.6,-0.1,28.1,2,0.61
319,Rune Jarstein_2021_Hertha BSC,Bundesliga,1.62,63.6,12.5,-0.5,39,1.6,0.38
320,Alexander Schwolow_2021_Hertha BSC,Bundesliga,1.5,69.4,30.8,0,43.8,2.7,0.73
321,Oliver Baumann_2021_Hoffenheim,Bundesliga,1.65,65.9,19.4,0.01,32.9,3.4,1.71
322,Alvaro Fernandez_2021_Huesca,La Liga,1.45,68.4,22.7,-0.04,39.1,4.3,1.05
323,Andres Fernandez_2021_Huesca,La Liga,1.31,66.7,25,-0.12,34.5,1.6,0.69
324,Samir Handanovic_2021_Inter,Serie A,0.92,73.6,37.8,-0.01,45.5,2.9,0.61
325,Gianluigi Buffon_2021_Juventus,Serie A,0.62,85.7,37.5,0.07,40.3,0.8,1.13
326,Wojciech Szczesny_2021_Juventus,Serie A,1.08,71.4,16.7,-0.01,51,3,1.24
327,Timo Horn_2021_Koln,Bundesliga,1.76,66.5,14.7,-0.16,44.2,3,0.9
328,Pepe Reina_2021_Lazio,Serie A,1.41,70.8,31,-0.05,44.4,2.4,0.59
329,Thomas Strakosha_2021_Lazio,Serie A,1.56,68.4,33.3,-0.14,55.6,3.4,0.56
330,Illan Meslier_2021_Leeds United,Premier League,1.49,76.6,31.4,-0.1,32.8,5.4,0.54
331,Kasper Schmeichel_2021_Leicester City,Premier League,1.32,66.2,28.9,-0.15,37.4,4.1,0.5
332,Jean-Louis Leca_2021_Lens,Ligue 1,1.39,69.9,21.6,-0.15,37.7,3.5,0.79
333,Cardenas_2021_Levante,La Liga,1.37,71.8,12.5,0.03,37.1,1.6,2
334,Aitor Fernandez_2021_Levante,La Liga,1.52,65.8,10.3,-0.19,35.6,1.5,1.86
335,Lukas Hradecky_2021_Leverkusen,Bundesliga,1.02,66.3,27.6,-0.01,35.6,6.2,2.04
336,Mike Maignan_2021_Lille,Ligue 1,0.61,79.4,55.3,0.21,31.3,5.5,1.16
337,Alisson_2021_Liverpool,Premier League,0.97,75.7,30.3,0.09,38.1,5.9,2.64
338,Matthieu Dreyer_2021_Lorient,Ligue 1,1.67,66.1,13.3,-0.22,37.8,0.5,0.4
339,Paul Nardi_2021_Lorient,Ligue 1,1.87,64.9,13,-0.41,28.8,3.5,0.74
340,Anthony Lopes_2021_Lyon,Ligue 1,1.13,71.6,28.9,-0.12,44.4,2,1.58
341,Yann Sommer_2021_M'Gladbach,Bundesliga,1.66,66.7,19.4,-0.33,40.3,1.8,1
342,Robin Zentner_2021_Mainz 05,Bundesliga,1.48,71.1,16.1,-0.13,29.1,6.8,1.19
343,Ederson_2021_Manchester City,Premier League,0.78,77.4,52.8,0.05,40.6,6.1,1.22
344,David de Gea_2021_Manchester Utd,Premier League,1.25,68.9,34.6,-0.08,38.5,0.6,1.1
345,Dean Henderson_2021_Manchester Utd,Premier League,0.96,76.5,33.3,-0.06,20.7,5.3,1.52
346,Steve Mandanda_2021_Marseille,Ligue 1,1.22,66.9,21.6,-0.14,29.1,3.9,0.95
347,Alexandre Oukidja_2021_Metz,Ligue 1,1.12,77.2,23.5,0.04,39.4,7.3,1.38
348,Gianluigi Donnarumma_2021_Milan,Serie A,1.03,71.4,37.8,-0.04,41.6,5.2,1.16
349,Benjamin Lecomte_2021_Monaco,Ligue 1,0.96,64.7,46.4,-0.15,33.9,2.9,2.21
350,Vito Mannone_2021_Monaco,Ligue 1,1.56,63.6,22.2,-0.15,35.8,1.1,1.11
351,Dimitry Bertaud_2021_Montpellier,Ligue 1,1.33,76.2,42.9,0.36,52.2,4.8,0.24
352,Jonas Omlin_2021_Montpellier,Ligue 1,1.72,74.2,6.5,0.01,43.8,5.4,0.54
353,Alban Lafont_2021_Nantes,Ligue 1,1.45,73.2,13.2,-0.07,31,4.5,0.95
354,Alex Meret_2021_Napoli,Serie A,1.32,66.7,27.3,-0.08,45.5,3.3,0.59
355,David Ospina_2021_Napoli,Serie A,0.75,78.6,50,0.12,47.9,7.8,0.69
356,Karl Darlow_2021_Newcastle Utd,Premier League,1.72,68.3,16,-0.15,34.7,4.5,0.4
357,Martin Dubravka_2021_Newcastle Utd,Premier League,1.46,71,23.1,-0.11,42.2,3.7,0.85
358,Walter Benitez_2021_Nice,Ligue 1,1.39,73.9,23.7,-0.06,31.8,4.2,0.53
359,Baptiste Reynet_2021_Nimes,Ligue 1,1.87,66.8,21.1,-0.18,34.7,2.8,1.08
360,Sergio Herrera_2021_Osasuna,La Liga,1.22,71.4,31.3,0.05,43.7,5.4,2.1
361,Keylor Navas_2021_Paris S-G,Ligue 1,0.64,81.5,48.3,0.28,46.8,0,0.89
362,Sergio Rico_2021_Paris S-G,Ligue 1,1,75,62.5,0.24,26.1,0,1.11
363,Luigi Sepe_2021_Parma,Serie A,2.11,59.1,13.9,-0.45,53.8,2.6,0.67
364,Peter Gulacsi_2021_RB Leipzig,Bundesliga,0.91,66.3,45.5,-0.1,43.2,4.8,1.97
365,Thibaut Courtois_2021_Real Madrid,La Liga,0.74,81.9,44.7,0.15,29.7,5.5,1.16
366,Alex Remiro_2021_Real Sociedad,La Liga,1,66.7,36.8,-0.05,39.2,2.2,1.24
367,Predrag Rajkovic_2021_Reims,Ligue 1,1.34,72.2,27,0.05,30,1.9,0.93
368,Alfred Gomis_2021_Rennes,Ligue 1,1.14,71.1,22.7,-0.1,39.7,3.2,1.59
369,Romain Salin_2021_Rennes,Ligue 1,0.93,74.1,33.3,-0.08,38.4,1.8,2.6
370,Pau Lopez_2021_Roma,Serie A,1.44,69.4,20,-0.03,35.5,4,1.49
371,Antonio Mirante_2021_Roma,Serie A,1.48,69.6,38.5,-0.27,43.4,0.6,1.95
372,Etienne Green_2021_Saint-Etienne,Ligue 1,1,78.6,37.5,0.36,35.9,4.2,0.88
373,Jessy Moulin_2021_Saint-Etienne,Ligue 1,1.45,62,31,-0.34,32.1,4.2,0.45
374,Emil Audero_2021_Sampdoria,Serie A,1.46,72.8,16.2,-0.03,39.2,2.1,0.92
375,Andrea Consigli_2021_Sassuolo,Serie A,1.51,71.9,18.9,-0.04,37,5.1,0.92
376,Ralf Fahrmann_2021_Schalke 04,Bundesliga,2.4,67.1,13.6,-0.31,26,3.2,0.96
377,Frederik Ronnow_2021_Schalke 04,Bundesliga,2.29,70.1,10,-0.04,37.6,6.1,1.24
378,Yassine Bounou_2021_Sevilla,La Liga,0.85,77.4,45.5,0.05,43.6,5.8,1.03
379,Aaron Ramsdale_2021_Sheffield Utd,Premier League,1.66,70.9,13.2,-0.15,32.2,5.7,0.89
380,Fraser Forster_2021_Southampton,Premier League,1.37,71,25,-0.16,22.4,4.2,1.75
381,Alex McCarthy_2021_Southampton,Premier League,1.9,65.3,23.3,-0.32,25.1,6.3,1.03
382,Ivan Provedel_2021_Spezia,Serie A,1.9,62.6,13.8,-0.24,37.8,3,1.59
383,Jeroen Zoet_2021_Spezia,Serie A,1.79,69,0,-0.3,36.6,8.3,1.64
384,Bingourou Kamara_2021_Strasbourg,Ligue 1,1.75,59.4,25,-0.34,40.6,1.1,0.25
385,Eiji Kawashima_2021_Strasbourg,Ligue 1,1.29,69.2,33.3,0,48.3,3.2,0.46
386,Matz Sels_2021_Strasbourg,Ligue 1,2.17,57.7,0,-0.63,37.6,4.7,0.33
387,Gregor Kobel_2021_Stuttgart,Bundesliga,1.64,68.8,15.2,-0.02,40,3.7,1.27
388,Salvatore Sirigu_2021_Torino,Serie A,1.94,59.7,21.9,-0.36,40.2,2.3,0.66
389,Hugo Lloris_2021_Tottenham,Premier League,1.18,77.4,31.6,0.1,39,3.9,0.63
390,Juan Musso_2021_Udinese,Serie A,1.46,74.5,22.9,0,43.4,5.4,0.51
391,Andreas Luthe_2021_Union Berlin,Bundesliga,1.37,71.2,16.1,-0.04,37.9,4.8,0.65
392,Jasper Cillessen_2021_Valencia,La Liga,1.1,77.8,30,0.03,35.8,1.8,1.1
393,Jaume Domenech_2021_Valencia,La Liga,1.5,70.8,14.3,-0.11,47,1.6,0.71
394,Jordi Masip_2021_Valladolid,La Liga,1.6,68.7,8,-0.06,31.6,1.6,0.72
395,Roberto_2021_Valladolid,La Liga,1.31,67.4,7.7,-0.15,29.9,0.5,0.77
396,Sergio Asenjo_2021_Villarreal,La Liga,1.11,72,27.8,-0.06,38.7,4.8,0.89
397,Jiri Pavlenka_2021_Werder Bremen,Bundesliga,1.68,66.2,17.6,-0.16,45.8,3,0.88
398,Sam Johnstone_2021_West Brom,Premier League,2,71.4,16.2,-0.1,33,3.1,1.03
399,Lukasz Fabianski_2021_West Ham,Premier League,1.26,70.3,28.6,0.02,39.1,5,0.43
400,Koen Casteels_2021_Wolfsburg,Bundesliga,1.03,72.2,43.8,0.02,41.3,5.6,1.78
401,Rui Patricio_2021_Wolves,Premier League,1.38,70.3,27,-0.07,41.8,3.8,0.32
402,Fernando Pacheco_2022_Alaves,La Liga,1.77,62.8,14.7,-0.24,47.8,4.4,1.27
403,Paul Bernardoni_2022_Angers,Ligue 1,1.46,65.2,30.8,-0.24,41.4,10.9,1.08
404,Anthony Mandrea_2022_Angers,Ligue 1,1.4,68.2,20,-0.04,26.6,4.3,0.8
405,Danijel Petkovic_2022_Angers,Ligue 1,1.47,69.2,13.3,-0.07,31,7.6,1.07
406,Stefan Ortega_2022_Arminia,Bundesliga,1.61,73.9,18.2,0.15,45.7,2.1,1.39
407,Aaron Ramsdale_2022_Arsenal,Premier League,1.15,73.4,35.3,0,27.9,6.3,1.76
408,Emiliano Martinez_2022_Aston Villa,Premier League,1.33,68.6,30.6,-0.11,36,7.2,0.92
409,Juan Musso_2022_Atalanta,Serie A,1.29,67.2,24.2,-0.05,42.2,9.1,1.2
410,Unai Simon_2022_Athletic Club,La Liga,0.91,74.8,35.3,0.06,39.1,5.5,1.03
411,Jan Oblak_2022_Atletico Madrid,La Liga,1.13,66,31.6,-0.2,28.4,5.7,0.76
412,Rafal Gikiewicz_2022_Augsburg,Bundesliga,1.65,67.3,26.5,-0.05,40.2,4.5,1.5
413,Marc-Andre ter Stegen_2022_Barcelona,La Liga,0.97,70.6,31.4,-0.11,51,4.4,0.97
414,Manuel Neuer_2022_Bayern Munich,Bundesliga,0.93,71.9,35.7,-0.07,49.3,3.4,3.41
415,Sven Ulreich_2022_Bayern Munich,Bundesliga,1.83,56.5,16.7,-0.22,31.3,5.6,1.67
416,Claudio Bravo_2022_Betis,La Liga,1.17,67.9,29.4,0.1,40.1,2.4,0.56
417,Rui Silva_2022_Betis,La Liga,0.96,75,38.1,-0.02,33.5,5.3,1.47
418,Manuel Riemann_2022_Bochum,Bundesliga,1.45,72.9,22.6,0.08,46.2,6.6,2.37
419,Lukasz Skorupski_2022_Bologna,Serie A,1.47,74.1,33.3,0.06,42,5.4,0.39
420,Benoit Costil_2022_Bordeaux,Ligue 1,2.48,57.1,0,-0.68,42.7,2.5,1.56
421,Gaetan Poussin_2022_Bordeaux,Ligue 1,2.23,55.7,15.4,-0.51,37.9,5.2,3.08
422,Alvaro Fernandez_2022_Brentford,Premier League,2,66.7,8.3,-0.17,29.6,4.6,1.5
423,David Raya_2022_Brentford,Premier League,1.13,77.7,33.3,-0.03,42.7,6.7,1.46
424,Marco Bizot_2022_Brest,Ligue 1,1.5,68.8,18.4,-0.1,46.5,3,0.89
425,Robert Sanchez_2022_Brighton,Premier League,1.14,72.3,29.7,-0.03,28.2,11.6,0.97
426,Nick Pope_2022_Burnley,Premier League,1.31,74.5,25,-0.05,39.5,7.6,2.22
427,Alessio Cragno_2022_Cagliari,Serie A,1.8,66.1,5.7,-0.27,45.7,4.5,0.94
428,Matias Dituro_2022_Celta Vigo,La Liga,1.13,71.3,36.8,0.06,37.7,8,0.97
429,Edouard Mendy_2022_Chelsea,Premier League,0.91,75.5,41.2,-0.05,43,7.5,1.35
430,Arthur Desmas_2022_Clermont Foot,Ligue 1,2.28,54.5,20,-0.67,24.1,3.1,0.28
431,Ouparine Djoco_2022_Clermont Foot,Ligue 1,1.53,65.7,21.7,-0.24,30.5,7.6,1.19
432,Jack Butland_2022_Crystal Palace,Premier League,1.53,53.6,12.5,-0.16,26.9,7.9,0.82
433,Vicente Guaita_2022_Crystal Palace,Premier League,1.12,74.1,36.7,-0.14,37.2,4.4,1.22
434,Jeremias Ledesma_2022_Cadiz,La Liga,1.34,76.5,34.2,0.05,34.3,7.2,0.74
435,Gregor Kobel_2022_Dortmund,Bundesliga,1.37,67.3,24.1,0.01,32.1,5,1.72
436,Kevin Trapp_2022_Eint Frankfurt,Bundesliga,1.44,73.2,15.6,0.18,29.1,4.5,1.34
437,Edgar Badia_2022_Elche,La Liga,1.46,75.4,20.8,0.1,44.6,4.3,1.71
438,Kiko Casilla_2022_Elche,La Liga,1.21,71.7,21.4,0.01,34.4,3.7,1.07
439,Guglielmo Vicario_2022_Empoli,Serie A,1.84,69.9,18.4,0.03,34.5,5.8,1
440,Diego Lopez_2022_Espanyol,La Liga,1.39,70.7,25,0.09,36.8,5.7,1.22
441,Jordan Pickford_2022_Everton,Premier League,1.66,66.5,20,-0.07,34.8,4.4,1
442,Bartlomiej Dragowski_2022_Fiorentina,Serie A,1.29,73.1,28.6,0.02,44.3,3.3,3.24
443,Pietro Terracciano_2022_Fiorentina,Serie A,1.35,59,29,-0.29,42.5,7.6,1.6
444,Mark Flekken_2022_Freiburg,Bundesliga,1.22,73.8,31.3,0.05,38.7,3,1.09
445,Salvatore Sirigu_2022_Genoa,Serie A,1.59,69.4,27,-0.17,42.5,2.9,0.54
446,David Soria_2022_Getafe,La Liga,1.08,70.5,34.2,0.02,42.4,4.4,1.19
447,Luis Maximiano_2022_Granada,La Liga,1.58,71.8,20,0.09,31.8,5.1,1.55
448,Sascha Burchert_2022_Greuther Furth,Bundesliga,2,65.3,21.4,-0.22,36.8,3.6,1.71
449,Marius Funk_2022_Greuther Furth,Bundesliga,3.75,48.1,0,-0.47,35.7,7.4,2.38
450,Andreas Linde_2022_Greuther Furth,Bundesliga,2,62.9,25,-0.27,29.9,5.7,0.83
451,Lorenzo Montipo_2022_Hellas Verona,Serie A,1.47,65,11.8,-0.22,32.8,4.2,0.68
452,Marcel Lotka_2022_Hertha BSC,Bundesliga,2.03,65.3,22.2,-0.63,33.5,9,1.02
453,Alexander Schwolow_2022_Hertha BSC,Bundesliga,2.11,62.6,16,-0.36,37.8,4.2,1.32
454,Oliver Baumann_2022_Hoffenheim,Bundesliga,1.73,64.5,24.2,-0.14,35.1,6.4,1.97
455,Samir Handanovic_2022_Inter,Serie A,0.81,79,40.5,0.11,46.2,3.8,0.27
456,Wojciech Szczesny_2022_Juventus,Serie A,0.88,75.2,36.4,0.05,45.4,5,0.76
457,Timo Horn_2022_Koln,Bundesliga,1.62,62.5,7.7,-0.02,40.4,2.7,1.46
458,Marvin Schwabe_2022_Koln,Bundesliga,1.33,71.4,14.3,0.21,42.6,3.2,0.71
459,Pepe Reina_2022_Lazio,Serie A,1.93,58.3,13.3,-0.36,49.6,5.4,0.67
460,Thomas Strakosha_2022_Lazio,Serie A,1.26,67.4,30.4,0.03,49.1,3.9,0.7
461,Illan Meslier_2022_Leeds United,Premier League,2.1,66.4,13.2,-0.43,26.3,5.3,1.2
462,Kasper Schmeichel_2022_Leicester City,Premier League,1.57,72.7,18.9,-0.04,39.9,2.8,1.03
463,Wuilker Farinez_2022_Lens,Ligue 1,1.22,68.9,27.3,-0.15,30.5,9.4,1.71
464,Jean-Louis Leca_2022_Lens,Ligue 1,1.28,70,18.5,-0.05,41.7,6.5,0.93
465,Cardenas_2022_Levante,La Liga,1.92,65,20.8,-0.19,31.1,3,1.08
466,Aitor Fernandez_2022_Levante,La Liga,2.24,65.4,15.4,-0.42,38.3,5.1,1.62
467,Lukas Hradecky_2022_Leverkusen,Bundesliga,1.37,72.7,25,-0.07,34.1,4.4,1.41
468,Ivo Grbic_2022_Lille,Ligue 1,1.33,69.4,9.5,-0.18,36.3,5.2,0.62
469,Alisson_2022_Liverpool,Premier League,0.67,75.8,55.6,0.04,44.2,6.5,2.47
470,Matthieu Dreyer_2022_Lorient,Ligue 1,1.56,57.9,43.8,-0.36,33,2.2,0.63
471,Paul Nardi_2022_Lorient,Ligue 1,1.73,62.6,18.2,-0.2,24,1.2,0.68
472,Anthony Lopes_2022_Lyon,Ligue 1,1.36,71.6,23.5,0.02,43,4.1,0.85
473,Julian Pollersbeck_2022_Lyon,Ligue 1,1.24,92,25,0.31,37.1,2.1,1.44
474,Yann Sommer_2022_M'Gladbach,Bundesliga,1.82,68.7,15.2,-0.09,33.5,4.4,1.66
475,Robin Zentner_2022_Mainz 05,Bundesliga,1.31,68.3,31.3,-0.06,30.6,6.9,2.13
476,Manolo Reina_2022_Mallorca,La Liga,1.24,68,38.1,0.11,39.2,4.2,0.43
477,Sergio Rico_2022_Mallorca,La Liga,2.07,54.4,7.1,-0.4,46.8,1,0.36
478,Ederson_2022_Manchester City,Premier League,0.7,69.9,54.1,-0.01,47.8,7,1.49
479,David de Gea_2022_Manchester Utd,Premier League,1.5,70,21.1,0.03,32.7,1.5,0.66
480,Pau Lopez_2022_Marseille,Ligue 1,1.07,68.6,34.5,-0.04,31.9,7,1.59
481,Steve Mandanda_2022_Marseille,Ligue 1,0.78,73.1,55.6,0.08,38.5,4.4,2.33
482,Marc-Aurele Caillard_2022_Metz,Ligue 1,1.75,67.8,29.4,-0.15,37.3,3.8,0.76
483,Alexandre Oukidja_2022_Metz,Ligue 1,1.87,60.4,14.3,-0.35,39.1,12.2,2.02
484,Mike Maignan_2022_Milan,Serie A,0.66,81.2,53.1,0.13,42,7.2,1.41
485,Ciprian Tatarusanu_2022_Milan,Serie A,1.67,66.7,16.7,-0.02,44.6,7.3,0.5
486,Alexander Nubel_2022_Monaco,Ligue 1,1.05,77.3,28.9,0.12,38.6,5.4,1.21
487,Dimitry Bertaud_2022_Montpellier,Ligue 1,2.16,68.4,22.2,-0.43,35.7,6.3,0.43
488,Jonas Omlin_2022_Montpellier,Ligue 1,1.43,75.9,27.6,0.15,40.4,7.9,0.94
489,Alban Lafont_2022_Nantes,Ligue 1,1.26,71.6,21.1,0.14,33.9,5.5,1.47
490,Alex Meret_2022_Napoli,Serie A,0.87,79.3,28.6,0.06,44.8,3.4,0.73
491,David Ospina_2022_Napoli,Serie A,0.81,77.4,41.9,0.12,37.8,5.1,1
492,Karl Darlow_2022_Newcastle Utd,Premier League,1.87,64.9,0,-0.56,44.2,4.7,0.5
493,Martin Dubravka_2022_Newcastle Utd,Premier League,1.35,67.9,30.8,0,41.6,6.1,0.54
494,Walter Benitez_2022_Nice,Ligue 1,0.95,78,37.8,0.21,38.4,6.2,0.89
495,Angus Gunn_2022_Norwich City,Premier League,2.44,64.9,11.1,-0.3,34.9,1.7,1.56
496,Tim Krul_2022_Norwich City,Premier League,2.14,66.7,17.2,-0.4,33.6,3.2,0.66
497,Sergio Herrera_2022_Osasuna,La Liga,1.33,70.1,33.3,0.03,45.6,4.3,1.78
498,Gianluigi Donnarumma_2022_Paris S-G,Ligue 1,1,73.8,29.4,0.09,42.6,6.3,2
499,Keylor Navas_2022_Paris S-G,Ligue 1,0.87,79.5,33.3,0.01,39.7,2.1,0.97
500,Peter Gulacsi_2022_RB Leipzig,Bundesliga,1.03,72.1,27.3,-0.03,37.7,4,1.85
501,Stole Dimitrievski_2022_Rayo Vallecano,La Liga,1.2,76.2,30,0.05,32.9,8.6,1.14
502,Luca Zidane_2022_Rayo Vallecano,La Liga,1.81,64.9,0,-0.14,44.7,10,0.84
503,Thibaut Courtois_2022_Real Madrid,La Liga,0.81,77.5,44.4,0.12,29.5,4.5,0.86
504,Alex Remiro_2022_Real Sociedad,La Liga,0.91,75,54.3,-0.02,41.8,3.9,1.37
505,Predrag Rajkovic_2022_Reims,Ligue 1,1.16,75.8,28.9,-0.03,31.5,5.7,1.39
506,Dogan Alemdar_2022_Rennes,Ligue 1,1.08,66.7,33.3,-0.06,36.7,5.5,2
507,Alfred Gomis_2022_Rennes,Ligue 1,1,68.7,40,0,42.8,4.7,1.24
508,Rui Patricio_2022_Roma,Serie A,1.13,74,39.5,0.03,44.3,3.1,0.68
509,Stefan Bajic_2022_Saint-Etienne,Ligue 1,2.29,62.1,0,0.04,37.3,4.9,1.94
510,Paul Bernardoni_2022_Saint-Etienne,Ligue 1,1.95,65.6,15.8,-0.19,28.6,9.6,2.95
511,Etienne Green_2022_Saint-Etienne,Ligue 1,2.03,61.2,6.7,-0.08,38.6,3.5,1.05
512,Vid Belec_2022_Salernitana,Serie A,2.28,65.9,4.8,-0.29,43.4,3.6,0.65
513,Luigi Sepe_2022_Salernitana,Serie A,1.55,73.1,6.3,0.04,51.9,4.3,0.84
514,Emil Audero_2022_Sampdoria,Serie A,1.69,63.8,17.2,-0.14,43,5.3,0.88
515,Wladimiro Falcone_2022_Sampdoria,Serie A,1.47,75.9,22.2,-0.13,42,4.3,0.21
516,Andrea Consigli_2022_Sassuolo,Serie A,1.71,67.8,8.1,-0.16,43.2,4.3,0.81
517,Yassine Bounou_2022_Sevilla,La Liga,0.77,78,41.9,0.09,40.2,6.4,0.77
518,Marko Dmitrovic_2022_Sevilla,La Liga,0.83,73.7,66.7,-0.16,41.4,6.1,2
519,Fraser Forster_2022_Southampton,Premier League,1.84,67.3,15.8,-0.03,31.8,6.7,1.26
520,Alex McCarthy_2022_Southampton,Premier League,1.59,62,29.4,-0.32,30.1,8.6,0.29
521,Ivan Provedel_2022_Spezia,Serie A,1.7,73.9,22.6,-0.04,33.4,5.9,0.81
522,Jeroen Zoet_2022_Spezia,Serie A,2.71,58.1,0,-0.84,29,2.1,0.86
523,Matz Sels_2022_Strasbourg,Ligue 1,1.16,70,35.1,-0.19,40.9,2.7,1.05
524,Florian Muller_2022_Stuttgart,Bundesliga,1.73,65.5,13.3,-0.16,39.1,3.8,1.23
525,Etrit Berisha_2022_Torino,Serie A,0.8,85.4,40,0.22,28.2,4.7,1
526,Vanja Milinkovic-Savic_2022_Torino,Serie A,1.22,67.5,14.8,-0.23,29.1,6.2,0.81
527,Hugo Lloris_2022_Tottenham,Premier League,1.05,72.3,42.1,-0.04,41.2,5.8,1.18
528,Gauthier Gallon_2022_Troyes,Ligue 1,1.45,72.6,25.8,0.07,40.5,4.6,0.81
529,Jessy Moulin_2022_Troyes,Ligue 1,1.14,75,14.3,-0.02,33,10.1,1.29
530,Marco Silvestri_2022_Udinese,Serie A,1.43,68.1,20,-0.1,38.8,3.5,0.29
531,Andreas Luthe_2022_Union Berlin,Bundesliga,1.44,64.4,22.2,-0.2,34.5,7.3,0.89
532,Frederik Ronnow_2022_Union Berlin,Bundesliga,0.71,72.2,28.6,-0.09,35.2,13.3,0.43
533,Jasper Cillessen_2022_Valencia,La Liga,1.79,68.8,17.6,0.1,43,3.1,0.86
534,Giorgi Mamardashvili_2022_Valencia,La Liga,1.11,76,44.4,0.06,36.6,4.8,1.61
535,Luca Lezzerini_2022_Venezia,Serie A,1.64,76.9,0,0.05,37.3,2,0.55
536,Niki Maenpaa_2022_Venezia,Serie A,1.64,73.8,6.3,0.07,31.7,2.2,0.61
537,Sergio Romero_2022_Venezia,Serie A,2.06,74.3,18.8,-0.01,38.1,5.3,0.69
538,Sergio Asenjo_2022_Villarreal,La Liga,1.5,71.4,0,-0.01,28.8,2.9,2.33
