"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
"40","Willy Caballero_2019",2019,"Chelsea","Premier League","Willy Caballero","ARG","GK","36",1981,2,0,0,0,0,0,0.3,0.11,0.3,0.16,9,20,45,47,9,19.1,29.5,16,68.8,46.6,26,2,7.7,0,0,5.8,"https://fbref.com/en/players/a179d516/Willy-Caballero"
"41","Andrea Seculin_2019",2019,"Chievo","Serie A","Andrea Seculin","ITA","GK","28",1990,1,7,0,0,1,0,4.7,0.4,-2.3,-2.26,6,13,46.2,19,3,52.6,37.1,5,60,47,6,0,0,2,1.98,19.7,"https://fbref.com/en/players/c4f573f4/Andrea-Seculin"
"42","Adrian Šemper_2019",2019,"Chievo","Serie A","Adrian Šemper","CRO","GK","20",1998,6,8,0,0,1,0,8.1,0.26,0.1,0.02,44,115,38.3,143,26,47.6,39.8,52,90.4,55.1,148,11,7.4,3,0.5,9.1,"https://fbref.com/en/players/f02dde20/Adrian-Semper"
"43","Stefano Sorrentino_2019",2019,"Chievo","Serie A","Stefano Sorrentino","ITA","GK","39",1979,31,60,2,2,6,2,49.6,0.28,-8.4,-0.27,201,462,43.5,603,94,45.8,37,296,62.8,41.6,506,8,1.6,8,0.26,9.6,"https://fbref.com/en/players/048877f5/Stefano-Sorrentino"
"44","Vicente Guaita_2019",2019,"Crystal Palace","Premier League","Vicente Guaita","ESP","GK","31",1987,19.5,23,1,0,2,1,20.3,0.23,-1.7,-0.09,123,396,31.1,398,90,56.5,41.4,191,89.5,58.7,317,13,4.1,10,0.51,12.5,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
"45","Wayne Hennessey_2019",2019,"Crystal Palace","Premier League","Wayne Hennessey","WAL","GK","31",1987,17.5,26,3,1,4,0,22.8,0.28,-3.2,-0.18,111,342,32.5,373,66,59,43.6,143,85.3,63.1,300,13,4.3,15,0.86,13.6,"https://fbref.com/en/players/76eca7e2/Wayne-Hennessey"
"46","Julián Speroni_2019",2019,"Crystal Palace","Premier League","Julián Speroni","ARG","GK","39",1979,1,4,0,0,1,0,3.6,0.4,-0.4,-0.37,11,31,35.5,22,3,90.9,53.1,13,84.6,54.9,18,1,5.6,0,0,3.8,"https://fbref.com/en/players/8e65a5e5/Julian-Speroni"
"47","Rúnar Alex Rúnarsson_2019",2019,"Dijon","Ligue 1","Rúnar Alex Rúnarsson","ISL","GK","23",1995,25,43,2,2,5,0,33.8,0.32,-9.2,-0.37,166,388,42.8,655,126,36.2,33.7,213,70.9,51.4,326,13,4,45,1.8,18.6,"https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson"
"48","Bobby Allain_2019",2019,"Dijon","Ligue 1","Bobby Allain","FRA","GK","26",1991,13,17,1,0,2,1,17,0.23,1,0.08,132,283,46.6,333,68,54.4,41,125,81.6,53.9,230,21,9.1,18,1.38,13.1,"https://fbref.com/en/players/8870154f/Bobby-Allain"
"49","Roman Bürki_2019",2019,"Dortmund","Bundesliga","Roman Bürki","SUI","GK","27",1990,32,40,4,1,6,0,39,0.28,-1,-0.03,140,428,32.7,852,171,33.3,32.9,222,64.9,48.7,425,18,4.2,36,1.13,15.1,"https://fbref.com/en/players/9d12e142/Roman-Burki"
