"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"161","Jessy Moulin_2019",2019,"Saint-Étienne","Ligue 1","Jessy Moulin","FRA","GK","32",1986,1,1,90,1,1,1,5,5,80,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/28a65a2c/Jessy-Moulin"
"162","Stéphane Ruffier_2019",2019,"Saint-Étienne","Ligue 1","Stéphane Ruffier","FRA","GK","31",1986,37,37,3330,37,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5,"https://fbref.com/en/players/cac76a72/Stephane-Ruffier"
"163","Emil Audero_2019",2019,"Sampdoria","Serie A","Emil Audero","ITA","GK","21",1997,36,36,3240,36,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5,"https://fbref.com/en/players/649b01d8/Emil-Audero"
"164","Rafael Cabral_2019",2019,"Sampdoria","Serie A","Rafael Cabral","BRA","GK","28",1990,2,2,180,2,0,0,2,2,100,1,1,0,2,100,0,0,0,0,NA,"https://fbref.com/en/players/806f7a26/Rafael-Cabral"
"165","Andrea Consigli_2019",2019,"Sassuolo","Serie A","Andrea Consigli","ITA","GK","31",1987,36,36,3213,35.7,56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,1,42.9,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
"166","Gianluca Pegolo_2019",2019,"Sassuolo","Serie A","Gianluca Pegolo","ITA","GK","37",1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo"
"167","Ralf Fährmann_2019",2019,"Schalke 04","Bundesliga","Ralf Fährmann","GER","GK","29",1988,17,16,1469,16.3,26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,0,"https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann"
"168","Alexander Nübel_2019",2019,"Schalke 04","Bundesliga","Alexander Nübel","GER","GK","21",1996,18,18,1588,17.6,29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,0,25,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
"169","Javier Díaz_2019",2019,"Sevilla","La Liga","Javier Díaz","ESP","GK","21",1997,1,1,90,1,1,1,2,1,100,0,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/17a1299d/Javier-Diaz"
"170","Juan Soriano_2019",2019,"Sevilla","La Liga","Juan Soriano","ESP","GK","20",1997,4,4,359,4,2,0.5,11,9,90.9,4,0,0,2,50,1,1,0,0,0,"https://fbref.com/en/players/5512b1a9/Juan-Soriano"
"171","Tomáš Vaclík_2019",2019,"Sevilla","La Liga","Tomáš Vaclík","CZE","GK","29",1989,33,33,2970,33,44,1.33,143,98,72,13,8,12,8,24.2,5,4,1,0,20,"https://fbref.com/en/players/7b456af7/Tomas-Vaclik"
"172","Fraser Forster_2019",2019,"Southampton","Premier League","Fraser Forster","ENG","GK","30",1988,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c3e39f12/Fraser-Forster"
"173","Angus Gunn_2019",2019,"Southampton","Premier League","Angus Gunn","SCO","GK","22",1996,12,12,1080,12,18,1.5,50,31,64,4,4,4,3,25,1,0,1,0,100,"https://fbref.com/en/players/e082af5b/Angus-Gunn"
"174","Alex McCarthy_2019",2019,"Southampton","Premier League","Alex McCarthy","ENG","GK","28",1989,25,25,2250,25,44,1.76,119,78,64.7,5,8,12,4,16,2,2,0,0,0,"https://fbref.com/en/players/36c2ca73/Alex-McCarthy"
"175","Eiji Kawashima_2019",2019,"Strasbourg","Ligue 1","Eiji Kawashima","JPN","GK","35",1983,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/a4527d33/Eiji-Kawashima"
"176","Matz Sels_2019",2019,"Strasbourg","Ligue 1","Matz Sels","BEL","GK","26",1992,37,37,3330,37,48,1.3,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
"177","Ron-Robert Zieler_2019",2019,"Stuttgart","Bundesliga","Ron-Robert Zieler","GER","GK","29",1989,34,34,3060,34,70,2.06,179,113,62,7,7,20,6,17.6,3,2,0,1,0,"https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler"
"178","Salvador Ichazo_2019",2019,"Torino","Serie A","Salvador Ichazo","URU","GK","26",1992,3,2,250,2.8,2,0.72,9,7,88.9,1,1,0,1,50,1,1,0,0,0,"https://fbref.com/en/players/514f0896/Salvador-Ichazo"
"179","Salvatore Sirigu_2019",2019,"Torino","Serie A","Salvatore Sirigu","ITA","GK","31",1987,36,36,3170,35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
"180","Paulo Gazzaniga_2019",2019,"Tottenham","Premier League","Paulo Gazzaniga","ARG","GK","26",1992,3,3,270,3,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
"181","Hugo Lloris_2019",2019,"Tottenham","Premier League","Hugo Lloris","FRA","GK","31",1986,33,33,2970,33,33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
"182","Michel Vorm_2019",2019,"Tottenham","Premier League","Michel Vorm","NED","GK","34",1983,2,2,180,2,4,2,13,9,69.2,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/1bebde9d/Michel-Vorm"
"183","Mauro Goicoechea_2019",2019,"Toulouse","Ligue 1","Mauro Goicoechea","URU","GK","30",1988,8,7,712,7.9,12,1.52,35,23,68.6,2,3,2,3,42.9,1,1,0,0,0,"https://fbref.com/en/players/132bb875/Mauro-Goicoechea"
"184","Baptiste Reynet_2019",2019,"Toulouse","Ligue 1","Baptiste Reynet","FRA","GK","27",1990,31,31,2704,30,45,1.5,143,98,71.3,6,11,14,6,19.4,5,4,1,0,20,"https://fbref.com/en/players/bcf1b2e9/Baptiste-Reynet"
"185","Juan Musso_2019",2019,"Udinese","Serie A","Juan Musso","ARG","GK","24",1994,29,29,2610,29,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0,"https://fbref.com/en/players/a111cf41/Juan-Musso"
"186","Simone Scuffet_2019",2019,"Udinese","Serie A","Simone Scuffet","ITA","GK","22",1996,9,9,810,9,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet"
"187","Jaume Doménech_2019",2019,"Valencia","La Liga","Jaume Doménech","ESP","GK","27",1990,4,4,360,4,1,0.25,13,12,92.3,2,2,0,3,75,0,0,0,0,NA,"https://fbref.com/en/players/c9cb972b/Jaume-Domenech"
"188","Neto_2019",2019,"Valencia","La Liga","Neto","BRA","GK","29",1989,34,34,3060,34,34,1,139,106,80.6,13,14,7,10,29.4,8,7,1,0,12.5,"https://fbref.com/en/players/a9dc785c/Neto"
"189","Jordi Masip_2019",2019,"Valladolid","La Liga","Jordi Masip","ESP","GK","29",1989,35,35,3150,35,45,1.29,143,96,72,10,9,16,9,25.7,8,5,3,0,37.5,"https://fbref.com/en/players/8fae77ea/Jordi-Masip"
"190","Yoel_2019",2019,"Valladolid","La Liga","Yoel","ESP","GK","29",1988,3,3,270,3,6,2,12,6,58.3,0,2,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/61bb7498/Yoel"
