Name,Year,Club,unique_ID,Role,Name_Year
Bernardo Silva,2022,Manchester City,Bernardo Silva_2022_Manchester City,attacking-midfield,Bernardo Silva_2022
Bernardo Silva,2023,Manchester City,Bernardo Silva_2023_Manchester City,attacking-midfield,Bernardo Silva_2023
Brahim Diaz,2019,Real Madrid,Brahim Diaz_2019_Real Madrid,attacking-midfield,Brahim Diaz_2019
Brahim Diaz,2021,Milan,Brahim Diaz_2021_Milan,attacking-midfield,Brahim Diaz_2021
Brahim Diaz,2022,Milan,Brahim Diaz_2022_Milan,attacking-midfield,Brahim Diaz_2022
Brahim Diaz,2023,Milan,Brahim Diaz_2023_Milan,attacking-midfield,Brahim Diaz_2023
Brais Mendez,2019,Celta Vigo,Brais Mendez_2019_Celta Vigo,attacking-midfield,Brais Mendez_2019
Brais Mendez,2020,Celta Vigo,Brais Mendez_2020_Celta Vigo,attacking-midfield,Brais Mendez_2020
Brais Mendez,2021,Celta Vigo,Brais Mendez_2021_Celta Vigo,attacking-midfield,Brais Mendez_2021
Brais Mendez,2022,Celta Vigo,Brais Mendez_2022_Celta Vigo,attacking-midfield,Brais Mendez_2022
Brais Mendez,2023,Real Sociedad,Brais Mendez_2023_Real Sociedad,attacking-midfield,Brais Mendez_2023
Brennan Johnson,2023,Nott'ham Forest,Brennan Johnson_2023_Nott'ham Forest,attacking-midfield,Brennan Johnson_2023
Bruno Fernandes,2020,Manchester Utd,Bruno Fernandes_2020_Manchester Utd,attacking-midfield,Bruno Fernandes_2020
Bruno Fernandes,2021,Manchester Utd,Bruno Fernandes_2021_Manchester Utd,attacking-midfield,Bruno Fernandes_2021
Bruno Fernandes,2022,Manchester Utd,Bruno Fernandes_2022_Manchester Utd,attacking-midfield,Bruno Fernandes_2022
Bruno Fernandes,2023,Manchester Utd,Bruno Fernandes_2023_Manchester Utd,attacking-midfield,Bruno Fernandes_2023
Charles De Ketelaere,2023,Milan,Charles De Ketelaere_2023_Milan,attacking-midfield,Charles De Ketelaere_2023
Christoph Baumgartner,2020,Hoffenheim,Christoph Baumgartner_2020_Hoffenheim,attacking-midfield,Christoph Baumgartner_2020
Christoph Baumgartner,2021,Hoffenheim,Christoph Baumgartner_2021_Hoffenheim,attacking-midfield,Christoph Baumgartner_2021
Christoph Baumgartner,2022,Hoffenheim,Christoph Baumgartner_2022_Hoffenheim,attacking-midfield,Christoph Baumgartner_2022
Christoph Baumgartner,2023,Hoffenheim,Christoph Baumgartner_2023_Hoffenheim,attacking-midfield,Christoph Baumgartner_2023
Daichi Kamada,2020,Eint Frankfurt,Daichi Kamada_2020_Eint Frankfurt,attacking-midfield,Daichi Kamada_2020
Daichi Kamada,2021,Eint Frankfurt,Daichi Kamada_2021_Eint Frankfurt,attacking-midfield,Daichi Kamada_2021
Daichi Kamada,2022,Eint Frankfurt,Daichi Kamada_2022_Eint Frankfurt,attacking-midfield,Daichi Kamada_2022
Daichi Kamada,2023,Eint Frankfurt,Daichi Kamada_2023_Eint Frankfurt,attacking-midfield,Daichi Kamada_2023
Dani Olmo,2020,RB Leipzig,Dani Olmo_2020_RB Leipzig,attacking-midfield,Dani Olmo_2020
Dani Olmo,2021,RB Leipzig,Dani Olmo_2021_RB Leipzig,attacking-midfield,Dani Olmo_2021
Dani Olmo,2022,RB Leipzig,Dani Olmo_2022_RB Leipzig,attacking-midfield,Dani Olmo_2022
Dani Olmo,2023,RB Leipzig,Dani Olmo_2023_RB Leipzig,attacking-midfield,Dani Olmo_2023
Dani Rodriguez,2022,Mallorca,Dani Rodriguez_2022_Mallorca,attacking-midfield,Dani Rodriguez_2022
Dani Rodriguez,2023,Mallorca,Dani Rodriguez_2023_Mallorca,attacking-midfield,Dani Rodriguez_2023
Daniel Didavi,2021,Stuttgart,Daniel Didavi_2021_Stuttgart,attacking-midfield,Daniel Didavi_2021
David Silva,2019,Manchester City,David Silva_2019_Manchester City,attacking-midfield,David Silva_2019
David Silva,2020,Manchester City,David Silva_2020_Manchester City,attacking-midfield,David Silva_2020
David Silva,2021,Real Sociedad,David Silva_2021_Real Sociedad,attacking-midfield,David Silva_2021
David Silva,2022,Real Sociedad,David Silva_2022_Real Sociedad,attacking-midfield,David Silva_2022
David Silva,2023,Real Sociedad,David Silva_2023_Real Sociedad,attacking-midfield,David Silva_2023
Davy Klaassen,2019,Werder Bremen,Davy Klaassen_2019_Werder Bremen,attacking-midfield,Davy Klaassen_2019
Davy Klaassen,2020,Werder Bremen,Davy Klaassen_2020_Werder Bremen,attacking-midfield,Davy Klaassen_2020
Dele Alli,2019,Tottenham,Dele Alli_2019_Tottenham,attacking-midfield,Dele Alli_2019
Dele Alli,2020,Tottenham,Dele Alli_2020_Tottenham,attacking-midfield,Dele Alli_2020
Dele Alli,2021,Tottenham,Dele Alli_2021_Tottenham,attacking-midfield,Dele Alli_2021
Dele Alli,2022,Tottenham,Dele Alli_2022_Tottenham,attacking-midfield,Dele Alli_2022
Denis Genreau,2023,Toulouse,Denis Genreau_2023_Toulouse,attacking-midfield,Denis Genreau_2023
Denis Suarez,2020,Celta Vigo,Denis Suarez_2020_Celta Vigo,attacking-midfield,Denis Suarez_2020
Denis Suarez,2021,Celta Vigo,Denis Suarez_2021_Celta Vigo,attacking-midfield,Denis Suarez_2021
Denis Suarez,2022,Celta Vigo,Denis Suarez_2022_Celta Vigo,attacking-midfield,Denis Suarez_2022
Desire Doue,2023,Rennes,Desire Doue_2023_Rennes,attacking-midfield,Desire Doue_2023
Dimitri Payet,2019,Marseille,Dimitri Payet_2019_Marseille,attacking-midfield,Dimitri Payet_2019
Dimitri Payet,2020,Marseille,Dimitri Payet_2020_Marseille,attacking-midfield,Dimitri Payet_2020
