Name,Year,Club,unique_ID,Role,Name_Year
Jules Kounde,2020,Sevilla,Jules Kounde_2020_Sevilla,centre-back,Jules Kounde_2020
Jules Kounde,2021,Sevilla,Jules Kounde_2021_Sevilla,centre-back,Jules Kounde_2021
Jules Kounde,2022,Sevilla,Jules Kounde_2022_Sevilla,centre-back,Jules Kounde_2022
Jules Kounde,2023,Barcelona,Jules Kounde_2023_Barcelona,centre-back,Jules Kounde_2023
Julian Chabot,2020,Sampdoria,Julian Chabot_2020_Sampdoria,centre-back,Julian Chabot_2020
Julian Chabot,2021,Spezia,Julian Chabot_2021_Spezia,centre-back,Julian Chabot_2021
Julien Laporte,2021,Lorient,Julien Laporte_2021_Lorient,centre-back,Julien Laporte_2021
Julien Laporte,2022,Lorient,Julien Laporte_2022_Lorient,centre-back,Julien Laporte_2022
Julien Laporte,2023,Lorient,Julien Laporte_2023_Lorient,centre-back,Julien Laporte_2023
Kaan Ayhan,2021,Sassuolo,Kaan Ayhan_2021_Sassuolo,centre-back,Kaan Ayhan_2021
Kaan Ayhan,2022,Sassuolo,Kaan Ayhan_2022_Sassuolo,centre-back,Kaan Ayhan_2022
Kaan Ayhan,2023,Sassuolo,Kaan Ayhan_2023_Sassuolo,centre-back,Kaan Ayhan_2023
Kalidou Koulibaly,2019,Napoli,Kalidou Koulibaly_2019_Napoli,centre-back,Kalidou Koulibaly_2019
Kalidou Koulibaly,2020,Napoli,Kalidou Koulibaly_2020_Napoli,centre-back,Kalidou Koulibaly_2020
Kalidou Koulibaly,2021,Napoli,Kalidou Koulibaly_2021_Napoli,centre-back,Kalidou Koulibaly_2021
Kalidou Koulibaly,2022,Napoli,Kalidou Koulibaly_2022_Napoli,centre-back,Kalidou Koulibaly_2022
Kamil Glik,2019,Monaco,Kamil Glik_2019_Monaco,centre-back,Kamil Glik_2019
Kamil Glik,2020,Monaco,Kamil Glik_2020_Monaco,centre-back,Kamil Glik_2020
Karim Rekik,2019,Hertha BSC,Karim Rekik_2019_Hertha BSC,centre-back,Karim Rekik_2019
Karim Rekik,2020,Hertha BSC,Karim Rekik_2020_Hertha BSC,centre-back,Karim Rekik_2020
Karim Rekik,2021,Sevilla,Karim Rekik_2021_Sevilla,centre-back,Karim Rekik_2021
Karim Rekik,2022,Sevilla,Karim Rekik_2022_Sevilla,centre-back,Karim Rekik_2022
Karim Rekik,2023,Sevilla,Karim Rekik_2023_Sevilla,centre-back,Karim Rekik_2023
Kastriot Dermaku,2020,Parma,Kastriot Dermaku_2020_Parma,centre-back,Kastriot Dermaku_2020
Keven Schlotterbeck,2021,Freiburg,Keven Schlotterbeck_2021_Freiburg,centre-back,Keven Schlotterbeck_2021
Keven Schlotterbeck,2023,Bochum,Keven Schlotterbeck_2023_Bochum,centre-back,Keven Schlotterbeck_2023
Kevin Akpoguma,2019,Hoffenheim,Kevin Akpoguma_2019_Hoffenheim,centre-back,Kevin Akpoguma_2019
Kevin Akpoguma,2020,Hoffenheim,Kevin Akpoguma_2020_Hoffenheim,centre-back,Kevin Akpoguma_2020
Kevin Akpoguma,2021,Hoffenheim,Kevin Akpoguma_2021_Hoffenheim,centre-back,Kevin Akpoguma_2021
Kevin Akpoguma,2022,Hoffenheim,Kevin Akpoguma_2022_Hoffenheim,centre-back,Kevin Akpoguma_2022
Kevin Akpoguma,2023,Hoffenheim,Kevin Akpoguma_2023_Hoffenheim,centre-back,Kevin Akpoguma_2023
Kevin Bonifazi,2019,SPAL,Kevin Bonifazi_2019_SPAL,centre-back,Kevin Bonifazi_2019
Kevin Bonifazi,2020,SPAL,Kevin Bonifazi_2020_SPAL,centre-back,Kevin Bonifazi_2020
Kevin Bonifazi,2022,Bologna,Kevin Bonifazi_2022_Bologna,centre-back,Kevin Bonifazi_2022
Kevin Bonifazi,2023,Bologna,Kevin Bonifazi_2023_Bologna,centre-back,Kevin Bonifazi_2023
Kevin Danso,2022,Lens,Kevin Danso_2022_Lens,centre-back,Kevin Danso_2022
Kevin Danso,2023,Lens,Kevin Danso_2023_Lens,centre-back,Kevin Danso_2023
Kevin Long,2019,Burnley,Kevin Long_2019_Burnley,centre-back,Kevin Long_2019
Kevin Long,2020,Burnley,Kevin Long_2020_Burnley,centre-back,Kevin Long_2020
Kevin Long,2021,Burnley,Kevin Long_2021_Burnley,centre-back,Kevin Long_2021
Kevin Vogt,2019,Hoffenheim,Kevin Vogt_2019_Hoffenheim,centre-back,Kevin Vogt_2019
Kevin Vogt,2020,Hoffenheim,Kevin Vogt_2020_Hoffenheim,centre-back,Kevin Vogt_2020
Kevin Vogt,2020,Werder Bremen,Kevin Vogt_2020_Werder Bremen,centre-back,Kevin Vogt_2020
Kevin Vogt,2021,Hoffenheim,Kevin Vogt_2021_Hoffenheim,centre-back,Kevin Vogt_2021
Kevin Vogt,2022,Hoffenheim,Kevin Vogt_2022_Hoffenheim,centre-back,Kevin Vogt_2022
Kevin Vogt,2023,Hoffenheim,Kevin Vogt_2023_Hoffenheim,centre-back,Kevin Vogt_2023
Kiko Olivas,2019,Valladolid,Kiko Olivas_2019_Valladolid,centre-back,Kiko Olivas_2019
Kiko Olivas,2020,Valladolid,Kiko Olivas_2020_Valladolid,centre-back,Kiko Olivas_2020
Koffi Djidji,2019,Torino,Koffi Djidji_2019_Torino,centre-back,Koffi Djidji_2019
Koffi Djidji,2020,Torino,Koffi Djidji_2020_Torino,centre-back,Koffi Djidji_2020
Koffi Djidji,2022,Torino,Koffi Djidji_2022_Torino,centre-back,Koffi Djidji_2022
Koffi Djidji,2023,Torino,Koffi Djidji_2023_Torino,centre-back,Koffi Djidji_2023
Konstantinos Mavropanos,2021,Stuttgart,Konstantinos Mavropanos_2021_Stuttgart,centre-back,Konstantinos Mavropanos_2021
Konstantinos Mavropanos,2022,Stuttgart,Konstantinos Mavropanos_2022_Stuttgart,centre-back,Konstantinos Mavropanos_2022
Konstantinos Mavropanos,2023,Stuttgart,Konstantinos Mavropanos_2023_Stuttgart,centre-back,Konstantinos Mavropanos_2023
Koray Gunter,2020,Hellas Verona,Koray Gunter_2020_Hellas Verona,centre-back,Koray Gunter_2020
Koray Gunter,2021,Hellas Verona,Koray Gunter_2021_Hellas Verona,centre-back,Koray Gunter_2021
Koray Gunter,2022,Hellas Verona,Koray Gunter_2022_Hellas Verona,centre-back,Koray Gunter_2022
Koray Gunter,2023,Hellas Verona,Koray Gunter_2023_Hellas Verona,centre-back,Koray Gunter_2023
Koray Gunter,2023,Sampdoria,Koray Gunter_2023_Sampdoria,centre-back,Koray Gunter_2023
Kortney Hause,2020,Aston Villa,Kortney Hause_2020_Aston Villa,centre-back,Kortney Hause_2020
Kortney Hause,2021,Aston Villa,Kortney Hause_2021_Aston Villa,centre-back,Kortney Hause_2021
Kristoffer Ajer,2022,Brentford,Kristoffer Ajer_2022_Brentford,centre-back,Kristoffer Ajer_2022
Kristoffer Ajer,2023,Brentford,Kristoffer Ajer_2023_Brentford,centre-back,Kristoffer Ajer_2023
Kurt Zouma,2020,Chelsea,Kurt Zouma_2020_Chelsea,centre-back,Kurt Zouma_2020
Kurt Zouma,2021,Chelsea,Kurt Zouma_2021_Chelsea,centre-back,Kurt Zouma_2021
Kurt Zouma,2022,West Ham,Kurt Zouma_2022_West Ham,centre-back,Kurt Zouma_2022
Kurt Zouma,2023,West Ham,Kurt Zouma_2023_West Ham,centre-back,Kurt Zouma_2023
Lamine Kone,2019,Strasbourg,Lamine Kone_2019_Strasbourg,centre-back,Lamine Kone_2019
Lamine Kone,2020,Strasbourg,Lamine Kone_2020_Strasbourg,centre-back,Lamine Kone_2020
Lamine Kone,2021,Strasbourg,Lamine Kone_2021_Strasbourg,centre-back,Lamine Kone_2021
Leandro Cabrera,2019,Getafe,Leandro Cabrera_2019_Getafe,centre-back,Leandro Cabrera_2019
Leandro Cabrera,2020,Espanyol,Leandro Cabrera_2020_Espanyol,centre-back,Leandro Cabrera_2020
Leandro Cabrera,2020,Getafe,Leandro Cabrera_2020_Getafe,centre-back,Leandro Cabrera_2020
Leandro Cabrera,2022,Espanyol,Leandro Cabrera_2022_Espanyol,centre-back,Leandro Cabrera_2022
Leandro Cabrera,2023,Espanyol,Leandro Cabrera_2023_Espanyol,centre-back,Leandro Cabrera_2023
Leny Yoro,2023,Lille,Leny Yoro_2023_Lille,centre-back,Leny Yoro_2023
Leo Petrot,2022,Lorient,Leo Petrot_2022_Lorient,centre-back,Leo Petrot_2022
Leon Balogun,2019,Brighton,Leon Balogun_2019_Brighton,centre-back,Leon Balogun_2019
Leonardo Balerdi,2021,Marseille,Leonardo Balerdi_2021_Marseille,centre-back,Leonardo Balerdi_2021
Leonardo Balerdi,2022,Marseille,Leonardo Balerdi_2022_Marseille,centre-back,Leonardo Balerdi_2022
Leonardo Balerdi,2023,Marseille,Leonardo Balerdi_2023_Marseille,centre-back,Leonardo Balerdi_2023
Leonardo Bonucci,2019,Juventus,Leonardo Bonucci_2019_Juventus,centre-back,Leonardo Bonucci_2019
Leonardo Bonucci,2020,Juventus,Leonardo Bonucci_2020_Juventus,centre-back,Leonardo Bonucci_2020
Leonardo Bonucci,2021,Juventus,Leonardo Bonucci_2021_Juventus,centre-back,Leonardo Bonucci_2021
Leonardo Bonucci,2022,Juventus,Leonardo Bonucci_2022_Juventus,centre-back,Leonardo Bonucci_2022
Leonardo Bonucci,2023,Juventus,Leonardo Bonucci_2023_Juventus,centre-back,Leonardo Bonucci_2023
Lewis Dunk,2019,Brighton,Lewis Dunk_2019_Brighton,centre-back,Lewis Dunk_2019
Lewis Dunk,2020,Brighton,Lewis Dunk_2020_Brighton,centre-back,Lewis Dunk_2020
Lewis Dunk,2021,Brighton,Lewis Dunk_2021_Brighton,centre-back,Lewis Dunk_2021
Lewis Dunk,2022,Brighton,Lewis Dunk_2022_Brighton,centre-back,Lewis Dunk_2022
Lewis Dunk,2023,Brighton,Lewis Dunk_2023_Brighton,centre-back,Lewis Dunk_2023
Liam Cooper,2021,Leeds United,Liam Cooper_2021_Leeds United,centre-back,Liam Cooper_2021
Liam Cooper,2022,Leeds United,Liam Cooper_2022_Leeds United,centre-back,Liam Cooper_2022
Liam Cooper,2023,Leeds United,Liam Cooper_2023_Leeds United,centre-back,Liam Cooper_2023
Lilian Brassier,2021,Brest,Lilian Brassier_2021_Brest,centre-back,Lilian Brassier_2021
Lilian Brassier,2022,Brest,Lilian Brassier_2022_Brest,centre-back,Lilian Brassier_2022
Lilian Brassier,2023,Brest,Lilian Brassier_2023_Brest,centre-back,Lilian Brassier_2023
Linus Gechter,2022,Hertha BSC,Linus Gechter_2022_Hertha BSC,centre-back,Linus Gechter_2022
Lisandro Martinez,2023,Manchester Utd,Lisandro Martinez_2023_Manchester Utd,centre-back,Lisandro Martinez_2023
Lloyd Kelly,2023,Bournemouth,Lloyd Kelly_2023_Bournemouth,centre-back,Lloyd Kelly_2023
Lluis Lopez,2019,Espanyol,Lluis Lopez_2019_Espanyol,centre-back,Lluis Lopez_2019
Loic Bade,2022,Rennes,Loic Bade_2022_Rennes,centre-back,Loic Bade_2022
Loic Bade,2023,Sevilla,Loic Bade_2023_Sevilla,centre-back,Loic Bade_2023
Lorenzo Pirola,2023,Salernitana,Lorenzo Pirola_2023_Salernitana,centre-back,Lorenzo Pirola_2023
Lorenzo Tonelli,2019,Sampdoria,Lorenzo Tonelli_2019_Sampdoria,centre-back,Lorenzo Tonelli_2019
Lorenzo Tonelli,2020,Sampdoria,Lorenzo Tonelli_2020_Sampdoria,centre-back,Lorenzo Tonelli_2020
Lorenzo Tonelli,2021,Sampdoria,Lorenzo Tonelli_2021_Sampdoria,centre-back,Lorenzo Tonelli_2021
Lorenzo Tonelli,2022,Empoli,Lorenzo Tonelli_2022_Empoli,centre-back,Lorenzo Tonelli_2022
Luca Caldirola,2023,Monza,Luca Caldirola_2023_Monza,centre-back,Luca Caldirola_2023
Luca Ceppitelli,2019,Cagliari,Luca Ceppitelli_2019_Cagliari,centre-back,Luca Ceppitelli_2019
Luca Ceppitelli,2020,Cagliari,Luca Ceppitelli_2020_Cagliari,centre-back,Luca Ceppitelli_2020
Luca Ceppitelli,2021,Cagliari,Luca Ceppitelli_2021_Cagliari,centre-back,Luca Ceppitelli_2021
Luca Ceppitelli,2022,Cagliari,Luca Ceppitelli_2022_Cagliari,centre-back,Luca Ceppitelli_2022
Luca Kilian,2022,Koln,Luca Kilian_2022_Koln,centre-back,Luca Kilian_2022
Luca Ranieri,2023,Fiorentina,Luca Ranieri_2023_Fiorentina,centre-back,Luca Ranieri_2023
Lucas Hernandez,2020,Bayern Munich,Lucas Hernandez_2020_Bayern Munich,centre-back,Lucas Hernandez_2020
Lucas Hernandez,2021,Bayern Munich,Lucas Hernandez_2021_Bayern Munich,centre-back,Lucas Hernandez_2021
Lucas Hernandez,2022,Bayern Munich,Lucas Hernandez_2022_Bayern Munich,centre-back,Lucas Hernandez_2022
Lucas Hernandez,2023,Bayern Munich,Lucas Hernandez_2023_Bayern Munich,centre-back,Lucas Hernandez_2023
Lucas Martinez Quarta,2021,Fiorentina,Lucas Martinez Quarta_2021_Fiorentina,centre-back,Lucas Martinez Quarta_2021
Lucas Martinez Quarta,2022,Fiorentina,Lucas Martinez Quarta_2022_Fiorentina,centre-back,Lucas Martinez Quarta_2022
Lucas Martinez Quarta,2023,Fiorentina,Lucas Martinez Quarta_2023_Fiorentina,centre-back,Lucas Martinez Quarta_2023
Lucas Perrin,2022,Strasbourg,Lucas Perrin_2022_Strasbourg,centre-back,Lucas Perrin_2022
Lucas Perrin,2023,Strasbourg,Lucas Perrin_2023_Strasbourg,centre-back,Lucas Perrin_2023
Luiz Felipe,2019,Lazio,Luiz Felipe_2019_Lazio,centre-back,Luiz Felipe_2019
Luiz Felipe,2020,Lazio,Luiz Felipe_2020_Lazio,centre-back,Luiz Felipe_2020
Luiz Felipe,2021,Lazio,Luiz Felipe_2021_Lazio,centre-back,Luiz Felipe_2021
Luiz Felipe,2022,Lazio,Luiz Felipe_2022_Lazio,centre-back,Luiz Felipe_2022
Lyanco,2019,Bologna,Lyanco_2019_Bologna,centre-back,Lyanco_2019
Lyanco,2020,Torino,Lyanco_2020_Torino,centre-back,Lyanco_2020
Lyanco,2021,Torino,Lyanco_2021_Torino,centre-back,Lyanco_2021
Lyanco,2022,Southampton,Lyanco_2022_Southampton,centre-back,Lyanco_2022
Lyanco,2023,Southampton,Lyanco_2023_Southampton,centre-back,Lyanco_2023
Mads Bech Sorensen,2022,Brentford,Mads Bech Sorensen_2022_Brentford,centre-back,Mads Bech Sorensen_2022
Makoto Hasebe,2019,Eint Frankfurt,Makoto Hasebe_2019_Eint Frankfurt,centre-back,Makoto Hasebe_2019
Makoto Hasebe,2020,Eint Frankfurt,Makoto Hasebe_2020_Eint Frankfurt,centre-back,Makoto Hasebe_2020
Makoto Hasebe,2021,Eint Frankfurt,Makoto Hasebe_2021_Eint Frankfurt,centre-back,Makoto Hasebe_2021
Makoto Hasebe,2022,Eint Frankfurt,Makoto Hasebe_2022_Eint Frankfurt,centre-back,Makoto Hasebe_2022
Makoto Hasebe,2023,Eint Frankfurt,Makoto Hasebe_2023_Eint Frankfurt,centre-back,Makoto Hasebe_2023
Malang Sarr,2019,Nice,Malang Sarr_2019_Nice,centre-back,Malang Sarr_2019
Malang Sarr,2020,Nice,Malang Sarr_2020_Nice,centre-back,Malang Sarr_2020
Malick Thiaw,2021,Schalke 04,Malick Thiaw_2021_Schalke 04,centre-back,Malick Thiaw_2021
Malick Thiaw,2023,Milan,Malick Thiaw_2023_Milan,centre-back,Malick Thiaw_2023
Mamadou Fofana,2020,Metz,Mamadou Fofana_2020_Metz,centre-back,Mamadou Fofana_2020
Mamadou Fofana,2021,Metz,Mamadou Fofana_2021_Metz,centre-back,Mamadou Fofana_2021
Mamadou Sakho,2019,Crystal Palace,Mamadou Sakho_2019_Crystal Palace,centre-back,Mamadou Sakho_2019
Mamadou Sakho,2020,Crystal Palace,Mamadou Sakho_2020_Crystal Palace,centre-back,Mamadou Sakho_2020
Mamadou Sakho,2022,Montpellier,Mamadou Sakho_2022_Montpellier,centre-back,Mamadou Sakho_2022
Mamadou Sakho,2023,Montpellier,Mamadou Sakho_2023_Montpellier,centre-back,Mamadou Sakho_2023
Manuel Akanji,2019,Dortmund,Manuel Akanji_2019_Dortmund,centre-back,Manuel Akanji_2019
Manuel Akanji,2020,Dortmund,Manuel Akanji_2020_Dortmund,centre-back,Manuel Akanji_2020
Manuel Akanji,2021,Dortmund,Manuel Akanji_2021_Dortmund,centre-back,Manuel Akanji_2021
Manuel Akanji,2022,Dortmund,Manuel Akanji_2022_Dortmund,centre-back,Manuel Akanji_2022
Manuel Akanji,2023,Manchester City,Manuel Akanji_2023_Manchester City,centre-back,Manuel Akanji_2023
Manuel Gulde,2019,Freiburg,Manuel Gulde_2019_Freiburg,centre-back,Manuel Gulde_2019
Manuel Gulde,2020,Freiburg,Manuel Gulde_2020_Freiburg,centre-back,Manuel Gulde_2020
Manuel Gulde,2021,Freiburg,Manuel Gulde_2021_Freiburg,centre-back,Manuel Gulde_2021
Manuel Gulde,2022,Freiburg,Manuel Gulde_2022_Freiburg,centre-back,Manuel Gulde_2022
Manuel Gulde,2023,Freiburg,Manuel Gulde_2023_Freiburg,centre-back,Manuel Gulde_2023
Marash Kumbulla,2021,Roma,Marash Kumbulla_2021_Roma,centre-back,Marash Kumbulla_2021
Marash Kumbulla,2022,Roma,Marash Kumbulla_2022_Roma,centre-back,Marash Kumbulla_2022
Marash Kumbulla,2023,Roma,Marash Kumbulla_2023_Roma,centre-back,Marash Kumbulla_2023
Marc Guehi,2022,Crystal Palace,Marc Guehi_2022_Crystal Palace,centre-back,Marc Guehi_2022
Marc Guehi,2023,Crystal Palace,Marc Guehi_2023_Crystal Palace,centre-back,Marc Guehi_2023
Marcel Tisserand,2019,Wolfsburg,Marcel Tisserand_2019_Wolfsburg,centre-back,Marcel Tisserand_2019
Marcel Tisserand,2020,Wolfsburg,Marcel Tisserand_2020_Wolfsburg,centre-back,Marcel Tisserand_2020
Marcelo,2019,Lyon,Marcelo_2019_Lyon,centre-back,Marcelo_2019
Marcelo,2020,Lyon,Marcelo_2020_Lyon,centre-back,Marcelo_2020
Marcelo,2021,Lyon,Marcelo_2021_Lyon,centre-back,Marcelo_2021
Marcelo,2022,Bordeaux,Marcelo_2022_Bordeaux,centre-back,Marcelo_2022
Marcelo,2022,Real Madrid,Marcelo_2022_Real Madrid,centre-back,Marcelo_2022
Marco Friedl,2019,Werder Bremen,Marco Friedl_2019_Werder Bremen,centre-back,Marco Friedl_2019
Marco Friedl,2020,Werder Bremen,Marco Friedl_2020_Werder Bremen,centre-back,Marco Friedl_2020
Marco Friedl,2021,Werder Bremen,Marco Friedl_2021_Werder Bremen,centre-back,Marco Friedl_2021
Marco Friedl,2023,Werder Bremen,Marco Friedl_2023_Werder Bremen,centre-back,Marco Friedl_2023
Marcos Senesi,2023,Bournemouth,Marcos Senesi_2023_Bournemouth,centre-back,Marcos Senesi_2023
Marin Pongracic,2020,Wolfsburg,Marin Pongracic_2020_Wolfsburg,centre-back,Marin Pongracic_2020
Marin Pongracic,2021,Wolfsburg,Marin Pongracic_2021_Wolfsburg,centre-back,Marin Pongracic_2021
Marin Pongracic,2022,Dortmund,Marin Pongracic_2022_Dortmund,centre-back,Marin Pongracic_2022
Marin Pongracic,2023,Lecce,Marin Pongracic_2023_Lecce,centre-back,Marin Pongracic_2023
Mario Suarez,2022,Rayo Vallecano,Mario Suarez_2022_Rayo Vallecano,centre-back,Mario Suarez_2022
Marlon,2019,Sassuolo,Marlon_2019_Sassuolo,centre-back,Marlon_2019
Marlon,2020,Sassuolo,Marlon_2020_Sassuolo,centre-back,Marlon_2020
Marlon,2021,Sassuolo,Marlon_2021_Sassuolo,centre-back,Marlon_2021
Marquinhos,2019,Paris S-G,Marquinhos_2019_Paris S-G,centre-back,Marquinhos_2019
Marquinhos,2020,Paris S-G,Marquinhos_2020_Paris S-G,centre-back,Marquinhos_2020
Marquinhos,2021,Paris S-G,Marquinhos_2021_Paris S-G,centre-back,Marquinhos_2021
Marquinhos,2022,Paris S-G,Marquinhos_2022_Paris S-G,centre-back,Marquinhos_2022
Marquinhos,2023,Paris S-G,Marquinhos_2023_Paris S-G,centre-back,Marquinhos_2023
Martin Caceres,2020,Fiorentina,Martin Caceres_2020_Fiorentina,centre-back,Martin Caceres_2020
Martin Caceres,2021,Fiorentina,Martin Caceres_2021_Fiorentina,centre-back,Martin Caceres_2021
Martin Erlic,2021,Spezia,Martin Erlic_2021_Spezia,centre-back,Martin Erlic_2021
Martin Erlic,2022,Spezia,Martin Erlic_2022_Spezia,centre-back,Martin Erlic_2022
Martin Erlic,2023,Sassuolo,Martin Erlic_2023_Sassuolo,centre-back,Martin Erlic_2023
Martin Hinteregger,2019,Augsburg,Martin Hinteregger_2019_Augsburg,centre-back,Martin Hinteregger_2019
Martin Hinteregger,2019,Eint Frankfurt,Martin Hinteregger_2019_Eint Frankfurt,centre-back,Martin Hinteregger_2019
Martin Hinteregger,2020,Eint Frankfurt,Martin Hinteregger_2020_Eint Frankfurt,centre-back,Martin Hinteregger_2020
Martin Hinteregger,2021,Eint Frankfurt,Martin Hinteregger_2021_Eint Frankfurt,centre-back,Martin Hinteregger_2021
Martin Hinteregger,2022,Eint Frankfurt,Martin Hinteregger_2022_Eint Frankfurt,centre-back,Martin Hinteregger_2022
Martin Valjent,2022,Mallorca,Martin Valjent_2022_Mallorca,centre-back,Martin Valjent_2022
Martin Valjent,2023,Mallorca,Martin Valjent_2023_Mallorca,centre-back,Martin Valjent_2023
Marton Dardai,2021,Hertha BSC,Marton Dardai_2021_Hertha BSC,centre-back,Marton Dardai_2021
Marton Dardai,2022,Hertha BSC,Marton Dardai_2022_Hertha BSC,centre-back,Marton Dardai_2022
Marton Dardai,2023,Hertha BSC,Marton Dardai_2023_Hertha BSC,centre-back,Marton Dardai_2023
Marvin Friedrich,2020,Union Berlin,Marvin Friedrich_2020_Union Berlin,centre-back,Marvin Friedrich_2020
Marvin Friedrich,2021,Union Berlin,Marvin Friedrich_2021_Union Berlin,centre-back,Marvin Friedrich_2021
Marvin Friedrich,2022,M'Gladbach,Marvin Friedrich_2022_M'Gladbach,centre-back,Marvin Friedrich_2022
Marvin Friedrich,2022,Union Berlin,Marvin Friedrich_2022_Union Berlin,centre-back,Marvin Friedrich_2022
Mason Holgate,2020,Everton,Mason Holgate_2020_Everton,centre-back,Mason Holgate_2020
Mason Holgate,2021,Everton,Mason Holgate_2021_Everton,centre-back,Mason Holgate_2021
Mason Holgate,2022,Everton,Mason Holgate_2022_Everton,centre-back,Mason Holgate_2022
Mason Holgate,2023,Everton,Mason Holgate_2023_Everton,centre-back,Mason Holgate_2023
Mateo Musacchio,2019,Milan,Mateo Musacchio_2019_Milan,centre-back,Mateo Musacchio_2019
Mateo Musacchio,2020,Milan,Mateo Musacchio_2020_Milan,centre-back,Mateo Musacchio_2020
Mateo Pavlovic,2019,Angers,Mateo Pavlovic_2019_Angers,centre-back,Mateo Pavlovic_2019
Mateo Pavlovic,2020,Angers,Mateo Pavlovic_2020_Angers,centre-back,Mateo Pavlovic_2020
Mateo Pavlovic,2021,Angers,Mateo Pavlovic_2021_Angers,centre-back,Mateo Pavlovic_2021
Mateusz Wieteska,2023,Clermont Foot,Mateusz Wieteska_2023_Clermont Foot,centre-back,Mateusz Wieteska_2023
Matija Nastasic,2019,Schalke 04,Matija Nastasic_2019_Schalke 04,centre-back,Matija Nastasic_2019
Matija Nastasic,2020,Schalke 04,Matija Nastasic_2020_Schalke 04,centre-back,Matija Nastasic_2020
Matija Nastasic,2021,Schalke 04,Matija Nastasic_2021_Schalke 04,centre-back,Matija Nastasic_2021
Matija Nastasic,2023,Mallorca,Matija Nastasic_2023_Mallorca,centre-back,Matija Nastasic_2023
Mats Hummels,2020,Dortmund,Mats Hummels_2020_Dortmund,centre-back,Mats Hummels_2020
Mats Hummels,2021,Dortmund,Mats Hummels_2021_Dortmund,centre-back,Mats Hummels_2021
Mats Hummels,2022,Dortmund,Mats Hummels_2022_Dortmund,centre-back,Mats Hummels_2022
Mats Hummels,2023,Dortmund,Mats Hummels_2023_Dortmund,centre-back,Mats Hummels_2023
Matteo Gabbia,2020,Milan,Matteo Gabbia_2020_Milan,centre-back,Matteo Gabbia_2020
Matteo Gabbia,2021,Milan,Matteo Gabbia_2021_Milan,centre-back,Matteo Gabbia_2021
Matteo Gabbia,2022,Milan,Matteo Gabbia_2022_Milan,centre-back,Matteo Gabbia_2022
Matteo Gabbia,2023,Milan,Matteo Gabbia_2023_Milan,centre-back,Matteo Gabbia_2023
Matteo Lovato,2021,Hellas Verona,Matteo Lovato_2021_Hellas Verona,centre-back,Matteo Lovato_2021
Matteo Lovato,2023,Salernitana,Matteo Lovato_2023_Salernitana,centre-back,Matteo Lovato_2023
Matthias Ginter,2023,Freiburg,Matthias Ginter_2023_Freiburg,centre-back,Matthias Ginter_2023
Matthijs de Ligt,2020,Juventus,Matthijs de Ligt_2020_Juventus,centre-back,Matthijs de Ligt_2020
Matthijs de Ligt,2021,Juventus,Matthijs de Ligt_2021_Juventus,centre-back,Matthijs de Ligt_2021
Matthijs de Ligt,2022,Juventus,Matthijs de Ligt_2022_Juventus,centre-back,Matthijs de Ligt_2022
Matthijs de Ligt,2023,Bayern Munich,Matthijs de Ligt_2023_Bayern Munich,centre-back,Matthijs de Ligt_2023
Mattia Bani,2020,Bologna,Mattia Bani_2020_Bologna,centre-back,Mattia Bani_2020
Mattia Bani,2021,Genoa,Mattia Bani_2021_Genoa,centre-back,Mattia Bani_2021
Mattia Bani,2021,Parma,Mattia Bani_2021_Parma,centre-back,Mattia Bani_2021
Mattia Bani,2022,Genoa,Mattia Bani_2022_Genoa,centre-back,Mattia Bani_2022
Mattia Caldara,2020,Atalanta,Mattia Caldara_2020_Atalanta,centre-back,Mattia Caldara_2020
Mattia Viti,2023,Nice,Mattia Viti_2023_Nice,centre-back,Mattia Viti_2023
Max Kilman,2021,Wolves,Max Kilman_2021_Wolves,centre-back,Max Kilman_2021
Max Kilman,2022,Wolves,Max Kilman_2022_Wolves,centre-back,Max Kilman_2022
Max Kilman,2023,Wolves,Max Kilman_2023_Wolves,centre-back,Max Kilman_2023
Maxence Lacroix,2021,Wolfsburg,Maxence Lacroix_2021_Wolfsburg,centre-back,Maxence Lacroix_2021
Maxence Lacroix,2022,Wolfsburg,Maxence Lacroix_2022_Wolfsburg,centre-back,Maxence Lacroix_2022
Maxence Lacroix,2023,Wolfsburg,Maxence Lacroix_2023_Wolfsburg,centre-back,Maxence Lacroix_2023
Maxim Leitsch,2023,Mainz 05,Maxim Leitsch_2023_Mainz 05,centre-back,Maxim Leitsch_2023
Maxime Esteve,2022,Montpellier,Maxime Esteve_2022_Montpellier,centre-back,Maxime Esteve_2022
Maxime Esteve,2023,Montpellier,Maxime Esteve_2023_Montpellier,centre-back,Maxime Esteve_2023
Maxime Le Marchand,2022,Strasbourg,Maxime Le Marchand_2022_Strasbourg,centre-back,Maxime Le Marchand_2022
Maxime Le Marchand,2023,Strasbourg,Maxime Le Marchand_2023_Strasbourg,centre-back,Maxime Le Marchand_2023
Maximilian Bauer,2023,Augsburg,Maximilian Bauer_2023_Augsburg,centre-back,Maximilian Bauer_2023
Maximiliano Caufriez,2023,Clermont Foot,Maximiliano Caufriez_2023_Clermont Foot,centre-back,Maximiliano Caufriez_2023
Maya Yoshida,2019,Southampton,Maya Yoshida_2019_Southampton,centre-back,Maya Yoshida_2019
Maya Yoshida,2020,Sampdoria,Maya Yoshida_2020_Sampdoria,centre-back,Maya Yoshida_2020
