stat,weight,direction
Gls_Per,0.5,1
Ast_Per,0.8,1
xG_Per,0.1,1
xAG_Per,0.2,1
Sh_per_90_Standard,0.1,1
SoT_per_90_Standard,0.5,1
G_per_SoT_Standard,0.5,1
npxG_per_Sh_Expected,0.1,1
Cmp_percent_Short,1,1
Cmp_percent_Medium,1,1
Cmp_percent_Long,0.5,1
SCA90_SCA,0.8,1
GCA90_GCA,0.8,1
Succ_percent_Take,0.8,1
Tkld_percent_Take,0.8,1
plus_per__minus_90_Team.Success,1,1
xGplus_per__minus_90_Team.Success..xG,0.1,1
