stat,weight,direction
Gls_Per,0.1,1
Cmp_percent_Short,1,1
Cmp_percent_Medium,0.67,1
Cmp_percent_Long,0.67,1
Tkl_percent_Challenges,1.5,1
plus_per__minus_90_Team.Success,1,1
xGplus_per__minus_90_Team.Success..xG,0.1,1
Won_percent_Aerial,1.5,1
