,unique_ID,Comp,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,player_market_value_euro
11,Unai Simon_2019_Athletic Club,La Liga,ESP,GK,21.0,1997.0,7.0,7.0,630.0,7.0,13.0,1.86,33.0,20.0,66.7,1.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,https://fbref.com/en/players/5dcf3e90/Unai-Simon,13.0,2.0,0.0,2.0,0.0,13.3,0.34,0.3,0.04,42.0,102.0,41.2,134.0,34.0,43.3,36.7,55.0,80.0,56.8,89.0,4.0,4.5,2.0,0.29,11.1,16000000.0
12,Antonio Adan_2019_Atletico Madrid,La Liga,ESP,GK,31.0,1987.0,2.0,1.0,90.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/65d62814/Antonio-Adan,2.0,0.0,0.0,1.0,0.0,3.0,0.43,1.0,1.03,5.0,16.0,31.3,13.0,2.0,53.8,33.3,11.0,81.8,52.5,18.0,0.0,0.0,0.0,0.0,,
13,Jan Oblak_2019_Atletico Madrid,La Liga,SVN,GK,25.0,1993.0,37.0,37.0,3330.0,37.0,27.0,0.73,129.0,104.0,82.9,22.0,9.0,6.0,20.0,54.1,5.0,5.0,0.0,0.0,0.0,https://fbref.com/en/players/ee8508c0/Jan-Oblak,27.0,5.0,0.0,3.0,2.0,39.3,0.27,14.3,0.39,215.0,580.0,37.1,570.0,102.0,56.7,41.0,291.0,88.3,57.4,537.0,22.0,4.1,16.0,0.43,12.0,
14,Fabian Giefer_2019_Augsburg,Bundesliga,GER,GK,28.0,1990.0,4.0,4.0,360.0,4.0,7.0,1.75,19.0,12.0,63.2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/fbefefdb/Fabian-Giefer,7.0,0.0,0.0,1.0,0.0,5.5,0.29,-1.5,-0.38,28.0,61.0,45.9,88.0,16.0,48.9,39.3,29.0,62.1,47.7,54.0,3.0,5.6,1.0,0.25,10.1,
15,Gregor Kobel_2019_Augsburg,Bundesliga,SUI,GK,20.0,1997.0,16.0,16.0,1390.0,15.4,42.0,2.72,93.0,51.0,55.9,4.0,2.0,10.0,3.0,18.8,2.0,1.0,1.0,0.0,50.0,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,42.0,1.0,1.0,5.0,1.0,34.6,0.36,-6.4,-0.42,74.0,221.0,33.5,407.0,71.0,38.1,33.4,119.0,55.5,45.7,216.0,10.0,4.6,16.0,1.04,14.6,
16,Andreas Luthe_2019_Augsburg,Bundesliga,GER,GK,31.0,1987.0,15.0,14.0,1310.0,14.6,22.0,1.51,78.0,57.0,71.8,3.0,5.0,6.0,2.0,14.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/7fe12375/Andreas-Luthe,22.0,0.0,1.0,2.0,1.0,20.7,0.27,-0.3,-0.02,76.0,209.0,36.4,353.0,56.0,42.8,36.9,128.0,45.3,38.1,200.0,3.0,1.5,9.0,0.62,13.7,
17,Jasper Cillessen_2019_Barcelona,La Liga,NED,GK,29.0,1989.0,3.0,3.0,270.0,3.0,4.0,1.33,14.0,10.0,78.6,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/04ac8285/Jasper-Cillessen,4.0,1.0,0.0,0.0,0.0,2.9,0.14,-1.1,-0.36,11.0,21.0,52.4,87.0,14.0,14.9,26.0,24.0,33.3,33.1,45.0,0.0,0.0,6.0,2.0,15.8,
18,Marc-Andre ter Stegen_2019_Barcelona,La Liga,GER,GK,26.0,1992.0,35.0,35.0,3150.0,35.0,32.0,0.91,116.0,85.0,73.3,25.0,8.0,2.0,16.0,45.7,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,32.0,1.0,0.0,2.0,1.0,37.5,0.32,6.5,0.18,114.0,223.0,51.1,883.0,197.0,15.7,27.3,200.0,42.0,38.4,395.0,8.0,2.0,32.0,0.91,16.2,72000000.0
19,Manuel Neuer_2019_Bayern Munich,Bundesliga,GER,GK,32.0,1986.0,26.0,26.0,2303.0,25.6,23.0,0.9,56.0,34.0,64.3,20.0,3.0,3.0,10.0,38.5,3.0,3.0,0.0,0.0,0.0,https://fbref.com/en/players/8778c910/Manuel-Neuer,23.0,3.0,0.0,2.0,1.0,19.8,0.31,-2.2,-0.08,92.0,210.0,43.8,794.0,114.0,23.8,28.8,128.0,16.4,31.3,188.0,10.0,5.3,44.0,1.72,20.6,14500000.0
20,Sven Ulreich_2019_Bayern Munich,Bundesliga,GER,GK,29.0,1988.0,9.0,8.0,757.0,8.4,9.0,1.07,23.0,14.0,69.6,4.0,3.0,1.0,2.0,25.0,3.0,2.0,0.0,1.0,0.0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,9.0,2.0,1.0,1.0,0.0,9.9,0.35,0.9,0.11,18.0,51.0,35.3,218.0,56.0,20.6,26.6,37.0,16.2,29.5,61.0,0.0,0.0,8.0,0.95,17.5,3500000.0
